序号,源名称,源类型,RSS链接,官网链接,平台,推荐Folo文件夹,主分类,标签,推荐原因,适合你的原因,是否一手源,是否可被Folo添加,是否需要核验,订阅优先级,风险说明,发现时间,发现任务ID,RSS探测状态,RSS探测方式,HTTP状态,内容类型,状态,备注,源ID
1,人力资源和社会保障部,官网,,https://www.mohrss.gov.cn/,官网,政策证书/职业技能等级,国家政策,人社部;职业技能;证书,职业技能等级、就业政策和证书政策的一手来源,与你的就业、证书和技能补贴判断高度相关,是,待发现RSS,否,高,官网栏目未必直接提供RSS，需要检测,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,6f39fb636282
2,工信部,官网,,https://www.miit.gov.cn/,官网,长期观察/行业趋势,国家政策,智能制造;工业互联网,智能制造和工业互联网政策的一手来源,可影响你对智能控制和制造业趋势的判断,是,待发现RSS,否,中,信息较宏观，需要二次筛选,2026-06-02 18:36:02,discover_20260602_183602,未发现RSS,,,,候选,未在HTML alternate或常见路径中发现可用RSS/Atom,1b3202f32f5f
3,山西机电职业技术学院,官网,,https://www.sxjdxy.edu.cn/,官网,政策证书/学校通知,学校通知,山西机电;学校;就业,学校通知和就业信息的源头之一,与你的实习、毕业和校园招聘直接相关,是,待发现RSS,否,高,需确认就业栏目和RSS能力,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,3d6d8305c0fd
4,RSSHub 文档,开源项目,,https://docs.rsshub.app/,文档,AI工具/Folo_RSS,AI工具,RSSHub;RSS;Folo,可帮助把更多公开网站转成RSS源,是InfoRadar源发现层的重要基础能力,是,待发现RSS,否,高,只使用合规公开路由,2026-06-02 18:36:02,discover_20260602_183602,官网请求失败,,403,,候选,HTTPError：403,57119bdeb813
5,Folo GitHub,开源项目,https://github.com/RSSNext/Folo/releases.atom,https://github.com/RSSNext/Folo,GitHub,AI工具/Folo_RSS,AI工具,Folo;RSS;AI阅读器,Folo项目更新和能力边界参考,与你的信息入口建设直接相关,是,是,否,中,不是日常政策源,2026-06-02 18:36:02,discover_20260602_183602,已发现RSS,github releases atom,200,application/atom+xml; charset=utf-8,候选,可尝试加入Folo,2d8bb96e86dc
6,RSSHub GitHub,开源项目,https://github.com/DIYgod/RSSHub/releases.atom,https://github.com/DIYgod/RSSHub,GitHub,AI工具/Folo_RSS,AI工具,RSSHub;RSS,跟踪RSSHub路线和可用能力,可帮助扩展可订阅源池,是,是,否,中,开发信息为主,2026-06-02 18:36:02,discover_20260602_183602,已发现RSS,github releases atom,200,application/atom+xml; charset=utf-8,候选,可尝试加入Folo,d668d67a78db
7,中国公共招聘网,官网,,https://job.mohrss.gov.cn/,官网,就业招聘/全国公共招聘,就业招聘,公共招聘;制造业;事业单位招聘,人社部体系公共招聘入口，覆盖岗位、招聘会、事业单位公开招聘,与你的准就业阶段和制造业岗位筛选直接相关,是,待发现RSS,否,高,平台可能无标准RSS，需要以监控或RSSHub方式接入,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,6a87fb9ad2ec
8,中国公共招聘网-事业单位公开招聘,官网,,https://job.mohrss.gov.cn/cjobs/institution/listInstitution,官网,就业招聘/事业单位,就业招聘,事业单位;招聘公告;官方,事业单位公开招聘信息集中入口,可作为官方招聘与报名窗口监控源,是,待发现RSS,否,中,岗位范围广，需要按山西、电气、专科等条件筛选,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,网络异常：URLError,39b1c6b880db
9,国家大学生就业服务平台,官网,https://www.ncss.cn/rss.xml,https://www.ncss.cn/,官网,就业招聘/高校毕业生,就业招聘,高校毕业生;就业;校招,教育部高校毕业生就业服务入口,与你从实习转向就业阶段直接相关,是,是,否,高,平台动态内容可能需要登录或接口适配,2026-06-03 00:56:15,discover_20260603_005615_715172,已发现RSS,常见RSS路径,200,application/xml;charset=UTF-8,候选,可尝试加入Folo,df9867742e1e
10,山西省人力资源和社会保障厅,官网,,http://rst.shanxi.gov.cn/,官网,政策证书/山西人社,地方政策,山西;人社;就业;证书;补贴,山西本地就业政策、事业单位、人社通知源头,与你的山西本地就业、证书、补贴高度相关,是,待发现RSS,否,高,政府站点栏目多，需要后续定位RSS或栏目页,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,3644668f1901
11,山西人事考试专栏,官网,,http://rst.shanxi.gov.cn/rsks/,官网,就业招聘/山西事业单位,就业招聘,山西;人事考试;事业单位;招聘,山西事业单位考试和招聘公告核心入口,可监控事业单位和公共岗位报名窗口,是,待发现RSS,否,高,不等同企业招聘，需要筛选适配岗位,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,7b28e92e9907
12,山西省教育厅,官网,,https://jyt.shanxi.gov.cn/,官网,政策证书/教育就业政策,地方政策,山西;教育;高校毕业生;就业,山西教育政策和高校毕业生相关通知入口,与你的学校、毕业、就业政策相关,是,待发现RSS,否,中,信息较宏观，需要与学校就业网交叉验证,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,82b3d0920599
13,山西省工业和信息化厅,官网,,http://gxt.shanxi.gov.cn/,官网,长期观察/智能制造政策,地方政策,山西;工信;智能制造;工业互联网,山西工业、智能制造、企业政策入口,可影响智能控制和制造业就业趋势判断,是,待发现RSS,否,中,政策偏宏观，需要二次筛选,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,595fdfb9bd9b
14,山西焦煤集团,官网,,https://www.sxcc.com.cn/,官网,就业招聘/国企矿山,就业招聘,山西焦煤;国企;矿山;设备维修,山西重点煤炭国企官网，招聘和公告值得长期监控,与你的矿用设备、电气维修、山西本地就业方向高度相关,是,待发现RSS,否,高,官网招聘栏目和RSS能力需探测,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,6a08f94542cb
15,山西焦化集团,官网,,https://www.sxjh.com.cn/,官网,就业招聘/国企矿山,就业招聘,山西焦化;山西焦煤;化工;设备维修,山西焦煤体系相关企业官网，可监控招聘与公告,与你的电气维修、控制设备、煤化工企业就业相关,是,待发现RSS,否,中,需确认招聘栏目和岗位适配,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,365c3c6e90a9
16,山西离柳焦煤集团,官网,,https://www.sxlljm.com/,官网,就业招聘/国企矿山,就业招聘,焦煤;煤矿;招聘;山西,地方焦煤企业官网，近期搜索结果显示有公开招聘公告,可作为山西煤矿相关岗位监控源,是,待发现RSS,否,中,企业性质和岗位质量需核验,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,d532a59b998f
17,晋能清洁能源科技-加入我们,官网,,https://www.jinergy.com/site/join,官网,就业招聘/新能源制造,就业招聘,晋能;新能源;制造业;招聘,晋能体系新能源制造企业招聘入口,可补充电气、设备、自动化、新能源制造岗位线索,是,待发现RSS,否,中,不是晋能控股集团总招聘入口，需标注来源边界,2026-06-03 00:56:15,discover_20260603_005615_715172,无RSS但值得监控,,,,监控候选,未在HTML alternate或常见路径中发现可用RSS/Atom,6e1f3c84a85e
18,应急管理部-特种作业操作证查询,官网,,https://zwfw.mem.gov.cn/zwthlw/pages/hlwmh/yyfw/tzzyczz/tzzyczz_index.html,官网,政策证书/电工证,职业证书,电工证;特种作业;应急管理部;证书查询,特种作业操作证官方查询入口,用于核验低压/高压电工证真伪和证书有效性,是,待发现RSS,否,高,查询入口不是资讯RSS，需要作为核验工具保存,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,998fc25a3094
19,应急管理部服务大厅,官网,,https://www.mem.gov.cn/fw/index.shtml,官网,政策证书/电工证,职业证书,应急管理;特种作业;电工证,应急管理部服务和特种作业相关入口,与电工证政策、查询和电子证照有关,是,待发现RSS,否,高,需后续定位具体办事栏目,2026-06-03 01:07:10,discover_20260603_010710_293491,未探测,,,,监控候选,候选源；RSS链接待自动发现或人工补充,bc0a4397f452
